[2026-01-04 00:43:41.290175] Project 'main-server' initialized for 'LegacyOrg'.

[2026-01-04 00:44:07] >>> AI 에이전트 가동 시작 <<<
[2026-01-04 00:44:07] AI 에이전트가 데이터를 분석 중입니다... (1/10)
[2026-01-04 00:44:10] AI 에이전트가 데이터를 분석 중입니다... (2/10)
[2026-01-04 00:44:13] AI 에이전트가 데이터를 분석 중입니다... (3/10)
[2026-01-04 00:44:16] AI 에이전트가 데이터를 분석 중입니다... (4/10)
[2026-01-04 00:44:19] AI 에이전트가 데이터를 분석 중입니다... (5/10)
[2026-01-04 00:44:22] AI 에이전트가 데이터를 분석 중입니다... (6/10)
[2026-01-04 00:44:25] AI 에이전트가 데이터를 분석 중입니다... (7/10)
[2026-01-04 00:44:28] AI 에이전트가 데이터를 분석 중입니다... (8/10)
[2026-01-04 00:44:31] AI 에이전트가 데이터를 분석 중입니다... (9/10)
[2026-01-04 00:44:34] AI 에이전트가 데이터를 분석 중입니다... (10/10)
[2026-01-04 00:44:37] 분석 완료 및 엔진 종료.
